id,affiliateid,sourceid,clientid,link,product,clicks,actions,conversions,leads,impressions,revenue,actioncost,networkcost,totalcost,costperclick,clickthroughrate,conversionrate,earningsperhundredclicks,returnofinvestment,costperaction,actiondate
310836,1149,2,31,http://pocketpoints.com,,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44:05.6
310852,1,2,31,http://www.promopro.co.uk/,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
310860,1171,2,21,http://www.aboutteach.com/,,46,0,0,0,56,0,0,0,0,0,0,0,0,0,0,44:05.6
310876,1067,2,21,http://www.Offers.com,,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44:05.6
310892,1061,2,21,https://bestreviews.net/,,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44:05.6
310908,1220,2,21,http://www.couponbirds.com,,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44:05.6
310924,1058,2,21,http://dianneperry.myecon.net,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
310940,1068,2,21,http://slickdeals.net,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
310956,1072,2,21,http://anewvizion.com,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
310972,1221,2,21,http://sofotex.info/,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
310988,1057,2,21,http://Bagzofmoney.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311004,1079,2,21,http://www.befrugal.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311020,1082,2,22,http://www.viglink.com,,175,0,0,0,206,0,0,0,0,0,0,0,0,0,0,44:05.6
311036,1,2,22,http://www.promopro.co.uk/,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
311052,1071,2,23,http://www.joinhoney.com,,19,10,10,0,35,786.88,4.72,47.22,47.22,2.49,0,0.53,4141.47,15.66,4.72,44:05.6
311068,1091,2,23,http://www.promocode4share.com,,10,3,3,0,11,188.73,3.78,11.33,11.33,1.13,0,0.3,1887.3,15.66,3.78,44:05.6
311084,327,2,23,http://www.goodshop.com,,3,1,1,0,8,43.99,2.64,2.64,2.64,0.88,0,0.33,1466.33,15.66,2.64,44:05.6
311100,1090,2,23,http://peerfly.com,,14,0,0,0,19,0,0,0,0,0,0,0,0,0,0,44:05.6
311116,1156,2,23,http://www.extrabux.com,,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44:05.6
311132,1099,2,23,http://mypoints.com,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44:05.6
311148,1225,2,23,http://smallbusinessdeals.com.au,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311164,1079,2,23,http://www.befrugal.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
311180,1081,2,23,http://www.swagbucks.com,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44:05.6
